0,Qing Yi Shi,Leon Lai,203.38893,5237536,Nick Ingman;Tree;DJ Spinn and DJ Rashad;Ray Pillow;Soul Embraced;Green Day;Erja Lyytinen
1,Getto Boys,Jack Orsen feat. Fumanschu_ Justus,210.54649,8001570,Dinosaur Jr;Steve Erquiaga;Barbara Lusch;Cannon's Jug Stompers;Varios Artistas de Rumba
2,1000 Of Years Ago,Namatjira,291.63057,4390005,Oui Oui;Temple Of The Dog;Vrse Murphy;The Panic Channel
3,Wendy,Jesse Malin,261.17179,3994817,The Golden Age Orchestra_ Paul Summer ;Bersuit Vergarabat;El Gran Silencio
4,Eyes Of A Stranger (Album Version),P.O.D.,255.73832,1341788,Slipknot;Whitesnake
5,Fried Neck Bones And Some Home Fries,Santana,433.37098,3293327,H-Town;Carlton Livingston;Gustavo Cerati;Ionics;Canis Dirus;Geiom Feat. Marita;Dynamix
6,Sent By Angels,Arc Angels,344.05832,3505052,Karen Peck And New River;Blessid Union Of Souls;The Bongo Man;Patrick Saint-Eloi;Gerard Lenorman;Ms. Dynamite / Bounty Killer;Greis;Ice;Rob Mullins
7,El troyano,Alfredo Gutiérrez,153.88689,4282058,Asleep At The Wheel;Joe Bataan;Orbital;Annie Philippe;Amalia Avgoustaki;Arco Iris
8,Megaton B-Boy 2000 (LP Version),Handsome Boy Modeling School,297.66485,5670484,Pedro Garcia & His Del Prado Orchestra;Fania All Stars;Happy Mondays;Mint Condition;The Chap;Southside Johnny Lyon;Dean Martin;Johnny Copeland;Paula Santoro;Beenie Man Featuring Wyclef And Redman;Souls Of Mischief;Noah Lewis
9,Crosses of crossed colors 3,Henri Pousseur,446.24934,2883958,Soulwax;Dave Rave_ Mark McCarron;Lil Boosie;Pelle Carlberg;Sound 5;D'Molls;The Last Eighth feat. Dumi Right(Zimbabwe Legit) and Skillz;Spectra Soul;Héroes del Silencio;Eddie Jones
10,The Plot To Bomb The Panhandle (Album Version),A Day To Remember,245.96853,2267935,Sound Field;The Last;The Merry Macs;Mando Diao;Geddy Lee;Kaizers Orchestra
11,Thriller,Fall Out Boy,203.54567,1492253,Irini Merkouri;The Sex Pistols;Skeeter Davis;Wanda De Sah;Belami;Chris Brown;Sylvia Tosun
12,The White's Bedroom - Fire Escape,The Plasmatics,121.73016,2899853,Four Tet;El Gran Combo De Puerto Rico;Jennifer Lopez;Etienne de Crécy ;Flink;Equilibrium;France D' Amour;GG Allin;Crystals;Flávio José
13,The Line,The Small Knives,208.16934,5391124,Wilmington Chester Mass Choir
14,Plastic People,Four Tet,393.84771,7846781,Big One;Beres Hammond;Computer Paul;iTAL tEK;Paulette Tajah;Ty Herndon;Karaoke (Made famous by DMX)
15,Revolution,Superchumbo,443.37587,2660367,Fruko Y Sus Tesos;Warner mack;Les Hurlements D'leo;Kate Maki
16,The Yellow Rose Of Texas,Roy Rogers,152.97261,7432993,Dinosaur Jr.;Red Stick Ramblers;Stanley Clarke;Jazzy B;Catia Werneck;Rod Bernard;Cliff Edwards/Disney Studio Chorus
17,Mr. Goose,The Charms,42.68363,8773815,Namatjira;Confetti's;Pinchers
18,Would?,Alice In Chains,223.26812,5365772,Dexy's Midnight Runners;Smut Peddlers;James Taylor;MC Sadri;Jerry Goldsmith;Sleepy D
19,Trapdoor,Chase & Status,398.54975,6043106,Huey Dunbar;Cam'Ron / Juelz Santana;Drag-On / DMX
20,Salamanders In The Sun,Steve Vai,305.94567,3535653,Charlie Louvin;Ross;Sun Yan-Zi;Humanzi
21,Wie ein Eisbär sein,Geier Sturzflug,211.35628,5793779,Christos Dantis;Dhamika;Sandy Posey;Thirst;Mothers Pride;DJ Phiene;Cache Cache;Talvin Singh
22,Exit People,Fergie,440.18893,7784765,Seventh Day Slumber;Soulwax;Johnny Pearson;Julie Roberts;Jaci Velasquez;Anna Meliti;Widespread Bloodshed;impulsonic;Montrose
23,So Nice - Original,Leroy Hutson,324.25751,5195251,(hed) p.e.;The Smashing Pumpkins;Martina McBride;Axe;My Chemical Romance;Max Melvin;Andre Verchuren
24,Mientras me quieras,Tranzas,213.7073,2611015,Bob Wills;Jean Marc Thibault;La Mancha De Rolando;David Palmer;Perfection;Vilma Palma e Vampiros;Wyclef Jean featuring Butch Cassidy and Sharissa;Butterfly Temple
25,Alpha River,Eclier,322.19383,5459521,bel canto;Irma Thomas;Andy Griffith;Serge Desaunay;Maria Bamford;Bitter End
26,Skymning,Groupa Med Lena Willemark,227.89179,7175443,Big Audio Dynamite;LORE;Cedric Gervais feat. Second Sun;Shelby Flint;Steve Azar
27,Te Quiero Mamma,Sergio Dalma,239.43791,2474688,Frank Ifield;Bob Crosby;The Beatles;Ada Jane;Gruppo Jazz Marca;Tyree
28,Act Won (Things Fall Apart),The Roots,54.12526,143698,Joy Kitikonti;Kaija Koo;Juan Diego Flórez / Mariusz Kwiecen / Orquestra de la Comunitat Valenciana / Daniel Oren;Marga Gomez;Atari Teenage Riot;Isaacs;Extreme;Harry Diboula
29,Goodbye Broadway_ Hello France,Billy Murray,176.5873,6682851,Seguridad Social;Helen Hobson;Fever Ray;Vorstadtkinder;Slightly Stoopid;The Fever;Six Brown Brothers;The Wicklows
30,Down In The Jungle,Monster Magnet,289.12281,163569,Juelz Santana / Freekey Zeekey / Monique Garnett;Vivian Khor;Mystery
31,Sister Seagull (Live),Be Bop Deluxe,221.93587,251446,Alan Silvestri;Simon Harris;Atman;Eric Champion;Coven;Busdriver featuring Abstract Rude & Ellay Khule
32,Common sense,Winston McAnuff_ The Bazbaz Orchestra,225.04444,6131800,The Knightsbridge Strings;Solomon;Uman;Rocio Jurado;The Golden Age Orchestra_ Paul Summer ;Ghorwane;Akon / Kardinal Offishall
33,Wisdom,Cedric Myton,520.04526,2798971,Onesidezero;Mei Chi Chiang;The Unborn Chikken Voices;Eddie Money;Nick Conolly
34,Throwdown At The Hoedown (LP Version),Bela Fleck And The Flecktones,309.9424,6665975,Len Barry;Jane Winther;Busdriver;KT Tunstall;Teena Marie;Danny Diablo feat. Puerto Rican Myke;Spongebob Squarepants;Angel Romero / The Academy of St. Martin in the Fields / Iona Brown
35,Expolodera (som dynamit),Caramell,218.40934,96693,Sharon Shannon;Rihanna;Charlie Rich;Eric Champion;Lisa Lisa & Cult Jam
36,I Was a Human Bomb for the FBI,Zombina & The Skeletones,210.93832,6488463,Hound Dog Taylor and The Houserockers;Dan Shen_ Gruppo Vocale Cantemus_ Ensemble Airone_ Luigi Marzola;Johnny Nash;Mayday;José Augusto;Catia Guimma;Cherish The Ladies
37,I Can't Wait Until Tomorrow (Live),Gary Moore,724.92363,238476,Michael McDonald;Vulture Industries;Electric O & Ishkan;Pietari Inkinen
